zotero_key,title,doi,date,item_type,provenance,status,has_pdf,pdf_key,pdf_filename,text_path,extraction_ok,note
9EM9K4D8,"E-Governance and Ethical AI: Balancing Automation, Privacy, and Human Rights",10.4018/979-8-3373-0817-3.ch0014,2025,journalArticle,scopus,valid,True,UZ69JNFS,"Raghuvanshi et al. - 2025 - E-Governance and Ethical AI Balancing Automation, Privacy, and Human Rights.pdf",Diss_Methods_Data/corpus/text/E-Governance_and_Ethical_AI__Balancing_Automation__Privacy__and_Human_Rights.txt,True,
GPFZARRJ,The Classical Liberal Case for Privacy in a World of Surveillance and Technological Change,10.1007/978-3-319-96583-3,2018,book,scopus,valid,True,3G2HTCNJ,Berg - 2018 - The Classical Liberal Case for Privacy in a World of Surveillance and Technological Change.pdf,Diss_Methods_Data/corpus/text/The_Classical_Liberal_Case_for_Privacy_in_a_World_of_Surveillance_and_Technological_Change.txt,True,
BSDHEAFU,The development of smart awareness among Ukraine's youth in modern conditions,,2023,journalArticle,scopus,valid,True,WHYUC7VG,Iryna et al. - 2023 - The development of smart awareness among Ukraine's youth in modern conditions.pdf,Diss_Methods_Data/corpus/text/The_development_of_smart_awareness_among_Ukraine_s_youth_in_modern_conditions.txt,True,
HX895JCG,Seeing like an algorithm: operative images and emergent subjects,10.1007/s00146-020-01067-y,2021,journalArticle,scopus,valid,True,IX77VXME,Uliasz - 2021 - Seeing like an algorithm operative images and emergent subjects.pdf,Diss_Methods_Data/corpus/text/Seeing_like_an_algorithm__operative_images_and_emergent_subjects.txt,True,
L9CH5NB9,Smart city IoT: Co-designing trustworthy public safety drones for indoor flight missions,10.34190/EWS.20.509,2020,conferencePaper,scopus,no_pdf,False,,,,False,No PDF attachment
EAJJMK3D,Algorithmic Surveillance and the Erosion of Privacy: Reconciling National Security and Human Rights in the Digital Era - A Comparative Study of the USA and UAE,10.1109/ICCIKE67021.2025.11318249,2025,conferencePaper,scopus,valid,True,IA7LZUK8,Zahra - 2025 - Algorithmic Surveillance and the Erosion of Privacy Reconciling National Security and Human Rights.pdf,Diss_Methods_Data/corpus/text/Algorithmic_Surveillance_and_the_Erosion_of_Privacy__Reconciling_National_Security_and_Human_Rights_in_the_Digital_Era_-_A_Comparative_Study_of_the_USA_and_UAE.txt,True,
XWXMWPR8,A predictive policing application to support patrol planning in smart cities,10.1109/ISC2.2017.8090817,2017,conferencePaper,scopus,valid,True,RBE7WPF5,Junior et al. - 2017 - A predictive policing application to support patrol planning in smart cities.pdf,Diss_Methods_Data/corpus/text/A_predictive_policing_application_to_support_patrol_planning_in_smart_cities.txt,True,
DGDFFBFI,Leveraging civilian IoT infrastructures to support warfighting activities in urban environments,10.1109/WF-IoT.2018.8355184,2018,conferencePaper,scopus,valid,True,JZE4XGEW,Riberto et al. - 2018 - Leveraging civilian IoT infrastructures to support warfighting activities in urban environments.pdf,Diss_Methods_Data/corpus/text/Leveraging_civilian_IoT_infrastructures_to_support_warfighting_activities_in_urban_environments.txt,True,
R6K4C8KF,Smart Cities as “Big Brother Only to the Masses”: The Limits of Personal Privacy and Personal Surveillance,10.24908/ss.v20i3.15759,2022,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
WWEJSANK,Pivoting Human Resource Policy Around Emerging Invasive and Non-invasive Neurotechnology,10.1007/978-3-031-24946-4_3,2023,journalArticle,scopus,valid,True,39HX6GFA,Guidetti and Speelman - 2023 - Pivoting Human Resource Policy Around Emerging Invasive and Non-invasive Neurotechnology.pdf,Diss_Methods_Data/corpus/text/Pivoting_Human_Resource_Policy_Around_Emerging_Invasive_and_Non-invasive_Neurotechnology.txt,True,
B33Z3HFD,The future of policing - Policing the future,,2015,journalArticle,scopus,valid,True,7AUFT2PV,Legnaro and Kretschmann - 2015 - The future of policing - Policing the future.pdf,Diss_Methods_Data/corpus/text/The_future_of_policing_-_Policing_the_future.txt,True,
YQZ3B8PF,Compliance-Industrial Complex: The Operating System of a Pre-Crime Society,10.1007/978-3-031-19224-1,2022,book,scopus,valid,True,E4E6QPLM,Kuldova - 2022 - Compliance-Industrial Complex The Operating System of a Pre-Crime Society.pdf,Diss_Methods_Data/corpus/text/Compliance-Industrial_Complex__The_Operating_System_of_a_Pre-Crime_Society.txt,True,
7QH2PZ5J,Dracula Urbanism and Smart City Mania: Urban Change in the Twenty-First Century,10.4324/9781003468271,2025,book,scopus,valid,True,5RXQS32F,Wilson and Wyly - 2025 - Dracula Urbanism and Smart City Mania Urban Change in the Twenty-First Century.pdf,Diss_Methods_Data/corpus/text/Dracula_Urbanism_and_Smart_City_Mania__Urban_Change_in_the_Twenty-First_Century.txt,True,
KTVEIAHW,Remotely Piloted Aircrafts Toward Smart Cities,10.1109/S3C.2017.8501372,2018,conferencePaper,scopus,valid,True,RM5AD49F,Dantas et al. - 2018 - Remotely Piloted Aircrafts Toward Smart Cities.pdf,Diss_Methods_Data/corpus/text/Remotely_Piloted_Aircrafts_Toward_Smart_Cities.txt,True,
9FQ6ELN5,The impact of smart city model on national security,,2020,journalArticle,scopus,valid,True,PRNULXLH,Khalifa - 2020 - The impact of smart city model on national security.pdf,Diss_Methods_Data/corpus/text/The_impact_of_smart_city_model_on_national_security.txt,True,
5LAHMNAI,Smart city crime prevention services: The incheon free economic zone case,10.3390/su12145658,2020,journalArticle,scopus,valid,True,V7FNCPRP,Park and Lee - 2020 - Smart city crime prevention services The incheon free economic zone case.pdf,Diss_Methods_Data/corpus/text/Smart_city_crime_prevention_services__The_incheon_free_economic_zone_case.txt,True,
MZPRV9KD,The Tragedy of Smart Cities in Egypt. How the Smart City is Used towards Political and Social Ordering and Exclusion,10.5604/01.3001.0016.0985,2022,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
SHJ7WJW3,"Die .,drohende Gefahr"" als Schlüsselbegriff einer Sekuritisierung des Rechts ""imminent danger"" as a key concept of a securitization of law",10.1515/zfrs-2020-0001,2021,journalArticle,scopus,valid,True,EWY3WXHI,"Kretschmann and Legnaro - 2021 - Die .,drohende Gefahr als Schlüsselbegriff einer Sekuritisierung des Rechts imminent danger as a.pdf",Diss_Methods_Data/corpus/text/Die___drohende_Gefahr__als_Schlüsselbegriff_einer_Sekuritisierung_des_Rechts__imminent_danger__as_a_key_concept_of_a_securitization_of_law.txt,True,
8AJIK2ZK,Political automation: An introduction to AI in government and its impact on citizens,10.1093/9780197696989.001.0001,2025,book,scopus,valid,True,6J3Z3MWU,isbn-9780197696989-book-part-1.pdf,Diss_Methods_Data/corpus/text/Political_automation__An_introduction_to_AI_in_government_and_its_impact_on_citizens.txt,True,
RMJL5UT8,From automation to autonomy: Technological sovereignty for better data care in smart cities,10.1007/978-981-15-8670-5_13,2021,journalArticle,scopus,valid,True,BJNDC3AN,Foth et al. - 2021 - From automation to autonomy Technological sovereignty for better data care in smart cities.pdf,Diss_Methods_Data/corpus/text/From_automation_to_autonomy__Technological_sovereignty_for_better_data_care_in_smart_cities.txt,True,
EPG5GWKL,Trust and the Smart City,10.4000/chinaperspectives.14024,2022,journalArticle,scopus,valid,True,BJYL9KSC,Cole and Tran - 2022 - Trust and the Smart City.pdf,Diss_Methods_Data/corpus/text/Trust_and_the_Smart_City.txt,True,
WZ3FYDWS,Diving into the Iceberg: Establishing Transparency in AI for Law Enforcement,10.15166/2499-8249/794,2024,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
M5RWVCH9,A serious game empowering the prediction of potential terrorist actions,10.1080/18335330.2016.1161222,2016,journalArticle,scopus,valid,True,YR3LRHMF,Sormani et al. - 2016 - A serious game empowering the prediction of potential terrorist actions.pdf,Diss_Methods_Data/corpus/text/A_serious_game_empowering_the_prediction_of_potential_terrorist_actions.txt,True,
MPS2AS8V,Studying Surveillance AI-cologies in Public Safety: How AI Is in the World and the World in AI,10.24908/ss.v22i2.16104,2024,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
X5Y9TQEW,"Automating crime prevention, surveillance, and military operations",10.1007/978-3-030-73276-9,2021,book,scopus,valid,True,ZZGNVGXR,"Završnik and Badalič - 2021 - Automating crime prevention, surveillance, and military operations.pdf",Diss_Methods_Data/corpus/text/Automating_crime_prevention__surveillance__and_military_operations.txt,True,
INXACXGK,Smart cities and the architecture of security: pastoral power and the scripted design of public space,10.1186/s40410-018-0090-8,2018,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
ENTQSPVT,"Smart City Surveillance: Governance Challenges in Balancing Privacy, Security, and Digital Sovereignty",10.4018/979-8-3693-9137-2.ch002,2025,journalArticle,scopus,valid,True,38N4TYL3,"Misra et al. - 2025 - Smart City Surveillance Governance Challenges in Balancing Privacy, Security, and Digital Sovereign.pdf",Diss_Methods_Data/corpus/text/Smart_City_Surveillance__Governance_Challenges_in_Balancing_Privacy__Security__and_Digital_Sovereignty.txt,True,
YACSB5BY,Smart Cities and Their Impact on the Colombian Navy,10.1007/978-3-031-49799-5_69,2024,journalArticle,scopus,valid,True,4LSLGQ5W,Martínez et al. - 2024 - Smart Cities and Their Impact on the Colombian Navy.pdf,Diss_Methods_Data/corpus/text/Smart_Cities_and_Their_Impact_on_the_Colombian_Navy.txt,True,
5XGB5ER5,Prohibited AI surveillance practices in the Artificial Intelligence Act: promises and pitfalls in protecting fundamental rights,10.4337/9781035323036.00011,2025,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
3FQG5FN3,Digitalisation of public administration under martial law in Ukraine and the case of Smart City Kyiv,10.13130/2723-9195/2025-2-70,2025,journalArticle,scopus,valid,True,MFNHMPI3,Serhiichuk - 2025 - Digitalisation of public administration under martial law in Ukraine and the case of Smart City Kyiv.pdf,Diss_Methods_Data/corpus/text/Digitalisation_of_public_administration_under_martial_law_in_Ukraine_and_the_case_of_Smart_City_Kyiv.txt,True,
A7484KXP,Responsible civilian drones,10.3920/978-90-8686-943-5_10,2023,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
RVXM8QSV,Integrating digitization into public administration: Impact on national security and the economy through spatial planning,10.55214/25768484.v8i5.1740,2024,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
XZ3ID96L,Urbicide in Israel’s War on Gaza: Architecture of Erasure and the Unmaking of Urban Life (2023–2025),10.34230/fiad.1740210,2025,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
JRUKKZMX,The atrocities of war leave profound impacts: not only on the built environment—cities and living spaces—but also deeply affect the infrastructure and the physical aspect of our environment,,2025,journalArticle,scopus,valid,True,I2B7TXB2,Abujidi - 2025 - The atrocities of war leave profound impacts not only on the built environment—cities and living sp.pdf,Diss_Methods_Data/corpus/text/The_atrocities_of_war_leave_profound_impacts__not_only_on_the_built_environment_cities_and_living_spaces_but_also_deeply_affect_the_infrastructure_and_the_physical_aspect_of_our_environment.txt,True,
IHEMIK5L,The Threat Posed by Commercial First-Person View (FPV) Unmanned Aerial Vehicles (UAVs) Modified by Asymmetrical Warfare Actors,10.4324/9781003520160-4,2025,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
5IB9JZIP,Western fantasy and tropical nightmare: Spectacular architecture and urban warfare in Rio,10.4324/9781003112464-29,2022,journalArticle,scopus,valid,True,HEWMR86N,Arantes and Ribeiro - 2022 - Western fantasy and tropical nightmare Spectacular architecture and urban warfare in Rio.pdf,Diss_Methods_Data/corpus/text/Western_fantasy_and_tropical_nightmare__Spectacular_architecture_and_urban_warfare_in_Rio.txt,True,
7VS2AHHS,"The Routledge Handbook of Architecture, Urban Space and Politics, Volume I: Violence, Spectacle and Data",10.4324/9781003112464,2022,book,scopus,valid,True,INV2VBH5,"Bobic and Haghighi - 2022 - The Routledge Handbook of Architecture, Urban Space and Politics, Volume I Violence, Spectacle and.pdf",Diss_Methods_Data/corpus/text/The_Routledge_Handbook_of_Architecture__Urban_Space_and_Politics__Volume_I__Violence__Spectacle_and_Data.txt,True,
KVJN4CZP,Concentration of Urban Violence in Fortaleza and Strategies for Crime Prevention,10.1177/07340168211038043,2021,journalArticle,scopus,valid,True,R5IIZKX8,Dantas and Favarin - 2021 - Concentration of Urban Violence in Fortaleza and Strategies for Crime Prevention.pdf,Diss_Methods_Data/corpus/text/Concentration_of_Urban_Violence_in_Fortaleza_and_Strategies_for_Crime_Prevention.txt,True,
JWH8Z5GI,Disappearing Palestine: Israel’s Experiments in Human Despair,10.5040/9781350219694,2009,book,scopus,valid,True,K43RMMXA,Cook - 2009 - Disappearing Palestine Israel’s Experiments in Human Despair.pdf,Diss_Methods_Data/corpus/text/Disappearing_Palestine__Israel_s_Experiments_in_Human_Despair.txt,True,
ZCUE8269,Urban Violence and Militarization,10.1016/B978-0-08-097086-8.74064-5,2015,journalArticle,scopus,valid,True,2TS2NDN6,Mendel - 2015 - Urban Violence and Militarization.pdf,Diss_Methods_Data/corpus/text/Urban_Violence_and_Militarization.txt,True,
J6CGH2GB,Hidden in Plain Sight: Toward a Smart Future in Eindhoven,10.1080/20507828.2019.1705558,2019 SEP 2,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
GGHKY43K,THE ROLE OF ADDITIONAL INFORMATION IN OBTAINING INFORMATION,10.7906/indecs.17.3.2,2019,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
CHW75MBU,"Surveillance, race, and social sorting in the United Arab Emirates",10.1177/02633957211009719,2024 NOV,journalArticle,wos,valid,True,AJRF4PHZ,"Ziadah - 2024 - Surveillance, race, and social sorting in the United Arab Emirates.pdf",Diss_Methods_Data/corpus/text/Surveillance__race__and_social_sorting_in_the_United_Arab_Emirates.txt,True,
X4HZ4QPW,Digital Tracking - a Matter of National Security?,10.23865/intpol.v80.3096,2022,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
DCYEYXJR,Cybersecurity as a Politikum: Implications of Security Discourses for Infrastructures,10.1145/3011883.3011887,2016,conferencePaper,wos,no_pdf,False,,,,False,No PDF attachment
32U43F5C,"Urban military geographies: New directions in the (re)production of space, militarism, and the urban",10.1111/gec3.12727,2023 DEC,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
XH9E4B74,Your face is not new to me-Regulating the surveillance power of facial recognition technologies,10.14763/2023.1.1699,2023,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
3XBQXE3W,A Crowdsensing Platform for Mass Surveillance,,2016,conferencePaper,wos,valid,True,85CGBBH8,Nagy and Simon - 2016 - A Crowdsensing Platform for Mass Surveillance.pdf,Diss_Methods_Data/corpus/text/A_Crowdsensing_Platform_for_Mass_Surveillance.txt,True,
DYSAEPCT,Urban Operating Systems: Diagramming the City,10.1111/1468-2427.12479,2017 JAN,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
DR9LA7TH,Citizens Surveillance - New Trends and Scenarios on the Future of Smart Societies,,2020,conferencePaper,wos,no_pdf,False,,,,False,No PDF attachment
7M3VSGNR,Territorialising the cloud or clouding the territory? Volumetric vulnerabilities and the militarised conjunctures of Singapore's smart city-state,10.1016/j.polgeo.2024.103211,2024 NOV,journalArticle,wos,valid,True,PRMKGPR3,Woods et al. - 2024 - Territorialising the cloud or clouding the territory Volumetric vulnerabilities and the militarised.pdf,Diss_Methods_Data/corpus/text/Territorialising_the_cloud_or_clouding_the_territory__Volumetric_vulnerabilities_and_the_militarised_conjunctures_of_Singapore_s_smart_city-state.txt,True,
XXAU4A4Q,Digital cities and their commercial aesthetics: The celebration of monarchy in Bangkok,10.1177/00420980251363790,2025 SEP 3,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
4B5WFGZS,"Tweets of surveillance: Traffic, Twitter, and securitization in Beirut, Lebanon",10.1177/1463499617729296,2017 SEP,journalArticle,wos,valid,True,WP7UEWGQ,"Monroe - 2017 - Tweets of surveillance Traffic, Twitter, and securitization in Beirut, Lebanon.pdf",Diss_Methods_Data/corpus/text/Tweets_of_surveillance__Traffic__Twitter__and_securitization_in_Beirut__Lebanon.txt,True,
JUF5E67G,Roads Infrastructure Digital Twin: A Step Toward Smarter Cities Realization,10.1109/MNET.011.2000398,2021 MAR-APR,journalArticle,wos,valid,True,BLLGZ6EN,El Marai et al. - 2021 - Roads Infrastructure Digital Twin A Step Toward Smarter Cities Realization.pdf,Diss_Methods_Data/corpus/text/Roads_Infrastructure_Digital_Twin__A_Step_Toward_Smarter_Cities_Realization.txt,True,
5X86BQ4S,Emerging Technologies in Local Government: A Systematic Literature Review Using the PRISMA Methodology,10.1080/14719037.2020.1838787,2022 JAN-JUN,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
ANT7SVDP,CollectiveOS Exobody Node Program (IX-1): A Comprehensive Technical and Operational Analysis of the First Civilian-Legal Telepresence Platform,10.5281/ZENODO.17768652,2025,dataset,wos,no_pdf,False,,,,False,No PDF attachment
G9VQE2GU,Intelligent 5G Networks Designed and Integrated for Globalized Operations (INDIGO),,2022,journalArticle,wos,removed,False,,,,,"<div data-schema-version=""9""><p>Removed after review, reason: too technical</p>
</div>"
NQGG4B4C,Algorithmic Governance and the International Politics of Big Tech,10.1017/S1537592721003145,2023 SEP,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
HKETE5RJ,Big Data Application and Management of UK Police Forces and its Policy Implications for the Korean Police,,2019,journalArticle,wos,valid,True,KQW4TCEC,JUNG - 2019 - Big Data Application and Management of UK Police Forces and its Policy Implications for the Korean P.pdf,Diss_Methods_Data/corpus/text/Big_Data_Application_and_Management_of_UK_Police_Forces_and_its_Policy_Implications_for_the_Korean_Police.txt,True,
VFLWU77B,"Post-racial politics, pre-emption and in/security",10.1177/13675494231168177,2024 APR,journalArticle,wos,no_pdf,False,,,,False,No PDF attachment
6NB6QYBK,"Embodying Data, Shifting Perspective: A Conversation with Ahnjili Zhuparris on Future Wake",10.4324/9781003694182,2025,book,wos,valid,True,PLJYXETX,"Wevers and Zhuparris - 2025 - Embodying Data, Shifting Perspective A Conversation with Ahnjili Zhuparris on Future Wake.pdf",Diss_Methods_Data/corpus/text/Embodying_Data__Shifting_Perspective__A_Conversation_with_Ahnjili_Zhuparris_on_Future_Wake.txt,True,
SCJHN72S,"Optimization of the homicide predictive classification algorithm: a study applied to the military police of Minas Gerais state, Brazil",10.1108/DTA-03-2025-0170,2026 JAN 14,journalArticle,wos,valid,True,TLZS5IX9,Nascimento et al. - 2026 - Optimization of the homicide predictive classification algorithm a study applied to the military po.pdf,Diss_Methods_Data/corpus/text/Optimization_of_the_homicide_predictive_classification_algorithm__a_study_applied_to_the_military_police_of_Minas_Gerais_state__Brazil.txt,True,
3S35DZ2J,TACKLING DELINQUENCY IN THE ERA OF SOCIAL CREDIT SYSTEM: PROSPECTS AND RISKS,10.17150/2500-4255.2021.15(3).282-294,2021,journalArticle,wos,valid,True,K7JZCZBF,Rouvinsky and Tsarev - 2021 - TACKLING DELINQUENCY IN THE ERA OF SOCIAL CREDIT SYSTEM PROSPECTS AND RISKS.pdf,Diss_Methods_Data/corpus/text/TACKLING_DELINQUENCY_IN_THE_ERA_OF_SOCIAL_CREDIT_SYSTEM__PROSPECTS_AND_RISKS.txt,True,
DKCG3MLF,Predictive Punishment: The Detecta and the incorporation of Data Mining and Profiling techniques (Big Data) in the practices of Surveillance of the São Paulo Military Police,,2018,journalArticle,wos,removed,False,,,,,"<div data-schema-version=""9""><p>removed - unable to retrieve Pdf</p>
<p></p>
</div>"
8KM6FBLH,"Neoliberalisation of Security, Austerity and the 'End of Public Policy': Governing Crime in Memphis (TN, USA) Through Predictive Policing, Community, Grants and Police 'Mission Creep'",,2018,journalArticle,wos,valid,True,PLI683UA,"Tulumello - 2018 - Neoliberalisation of Security, Austerity and the 'End of Public Policy' Governing Crime in Memphis.pdf",Diss_Methods_Data/corpus/text/Neoliberalisation_of_Security__Austerity_and_the__End_of_Public_Policy___Governing_Crime_in_Memphis__TN__USA__Through_Predictive_Policing__Community__Grants_and_Police__Mission_Creep_.txt,True,
4YN3BLCX,ATTAINING SECURITY THROUGH ALGORITHMS: PERSPECTIVES OF REFUGEES AND DATA EXPERTS,10.1108/S2050-206020210000020009,2021,bookSection,wos,valid,True,K6FIXFUP,Kasapoglu and Masso - 2021 - ATTAINING SECURITY THROUGH ALGORITHMS PERSPECTIVES OF REFUGEES AND DATA EXPERTS.pdf,Diss_Methods_Data/corpus/text/ATTAINING_SECURITY_THROUGH_ALGORITHMS__PERSPECTIVES_OF_REFUGEES_AND_DATA_EXPERTS.txt,True,
R2DANRUS,"Repressive connectivity and digital resistance: internet shutdowns, speech and networked counterpublics in Manipur",10.1080/01436597.2025.2600560,2026 MAY 24,journalArticle,wos,valid,True,TB9QPLKI,"Irungbam - 2026 - Repressive connectivity and digital resistance internet shutdowns, speech and networked counterpubl.pdf",Diss_Methods_Data/corpus/text/Repressive_connectivity_and_digital_resistance__internet_shutdowns__speech_and_networked_counterpublics_in_Manipur.txt,True,
36ID7Z9N,"Pre-crime, Post-criminology, and the Captivity of Ultramodern Desire",10.1007/s11196-020-09719-4,2020 JUN,journalArticle,wos,valid,True,MZEJCRYE,"Arrigo et al. - 2020 - Pre-crime, Post-criminology, and the Captivity of Ultramodern Desire.pdf",Diss_Methods_Data/corpus/text/Pre-crime__Post-criminology__and_the_Captivity_of_Ultramodern_Desire.txt,True,
