openalex_id,doi,title,year,type,first_author,source,via,triage,verdict,model,raw_response
https://openalex.org/W2096563757,https://doi.org/10.1080/00343400701809665,The 21st-Century Metropolis: New Geographies of Theory,2008,article,Ananya Roy,Regional Studies,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2079477896,https://doi.org/10.2747/0272-3638.33.4.593,(Re)theorizing Cities from the Global South: Looking Beyond Neoliberalism,2012,article,Susan Parnell,Urban Geography,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2088989462,https://doi.org/10.1177/0309132508104994,Globalized fear? Towards an emotional geopolitics,2009,article,Rachel Pain,Progress in Human Geography,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2151485213,https://doi.org/10.1177/0309132513501405,Geopolitical assemblages and complexity,2013,article,Jason Dittmer,Progress in Human Geography,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2111114199,https://doi.org/10.1080/00420980600676717,The Good City,2006,article,Ash Amin,Urban Studies,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2014717813,https://doi.org/10.1111/j.1467-8330.2008.00655.x,Algorithmic War: Everyday Geographies of the War on Terror,2009,article,Louise Amoore,Antipode,Graham 2006:forward,screened,Include,deepseek/deepseek-v4-flash,Include
https://openalex.org/W2144216691,https://doi.org/10.1111/j.1467-8330.2008.00654.x,After Geopolitics? From the Geopolitical Social to Geoeconomics,2009,article,Deborah Cowen,Antipode,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2019947772,https://doi.org/10.1111/j.0435-3684.2006.00228.x,Giorgio agamben and the spatialities of the camp: an introduction,2006,article,Richard Ek,Geografiska Annaler Series B Human Geography,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W1969306278,https://doi.org/10.1177/0308275x08101029,Introduction — Urban Charisma,2009,article,Thomas Blom Hansen,Critique of Anthropology,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2098742283,https://doi.org/10.1177/0042098013487775,Cities and Conflict in Fragile States in the Developing World,2013,article,Jo Beall,Urban Studies,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2079229190,https://doi.org/10.1080/02697459.2013.787693,Towards Next-Generation Urban Resilience in Planning Practice: From Securitization to Integrated Place Making,2013,article,Jon Coaffee,Planning Practice and Research,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2135630920,https://doi.org/10.1080/14616742.2011.587364,Turning the Gendered Politics of the Security State Inside Out?,2011,article,Paul Amar,International Feminist Journal of Politics,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
https://openalex.org/W2121068188,https://doi.org/10.1111/1467-9256.12011,Rescaling and Responsibilising the Politics of Urban Resilience: From National Security to Local Place-Making,2013,article,Jon Coaffee,Politics,Graham 2006:forward,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
